COMPANY_NAME,TYPE,SUB TYPE,NAME,HEIGHT,WIDTH,LENGTH,WEIGHT,WHEELBASE,ENGLINE,DISPLACEMENT,GROUND_CLEARANCE,BOOT_SPACE
Mercedes-Benz,Sedan,luxury,C-class,143.7,182,475.1,1550,286.5,1.5,1497,15.7,455
Mercedes-Benz,Sedan,executive,E-class,146.8,185.2,493.5,1680,293.9,2,1993,15,540
Mercedes-Benz,Sedan,flagship,S-class,150.3,195.4,528.9,1950,321.6,3,2925,13,550
Mercedes-Benz,SUV,compact,GLA,161.1,183.4,441,1500,272.9,2,1991,17,435
Mercedes-Benz,SUV,mid size,GLC,164,189,471.6,1750,287.3,2,1991,18.1,550
Mercedes-Benz,off road,4x4,G-class,196.6,193.1,466.2,2450,289,4,3982,24.1,667
land rover,SUV,full size luxury,Range rover,187,220.9,525.8,2400,319.7,3,2998,21.9,818
land rover,SUV,luxury,Range rover sport,182,204.7,494.6,2200,299.7,2,1997,21,835
land rover,SUV,mid size luxury,range rover velar,162.3,203.2,480.3,1850,287.4,2,1997,19,632
land rover,SUV,compact luxury,range rover evoque,164,198,437.1,1700,268,2,1997,21.2,591
land rover,SUV,premium,discovery sport,172.7,206.9,459.7,1850,274.1,2,1997,16.7,212
land rover,SUV,full size,discovery,188.8,222,495.6,2509,298,3,2997,21,850
land rover,SUV,off road,defender 110,196.7,199.6,501.8,2133,302.2,2,2000,22.6,680
